food_name,weight_per_serving,cal,protein,fat,carbohydrate,แคลเซียม (มิลลิกรัม),แมกนีเซียม (มิลลิกรัม),โพแทสเซียม (มิลลิกรัม),โซเดียม (มิลลิกรัม),ฟอสฟอรัส (มิลลิกรัม),SFA (มิลลิกรัม),MUFA (มิลลิกรัม),PUFA (มิลลิกรัม)
วุ้นเส้นเย็นตาโฟ,498,420,11.3,13.6,63.1,74,50,297,2712,118,4438,4805,4880
ก๋วยเตี๋ยวคั่วไก่,250,495,17.4,20.9,59.4,42,30.5,255,961,219,7746,8487,3030
ก๋วยเตี๋ยวเส้นเล็กแห้งหมู,265,717,24.2,31.4,84.3,82,59,356,2028,257,11489,12592,4576
ก๋วยเตี๋ยวเส้นหมี่แห้งหมูตุ๋น,253,272,15.9,8.6,32.7,21,25.8,120,268,99,3598,3372,1332
ก๋วยเตี๋ยวหลอด,388,397,8.8,12.4,52.5,56,167.9,473,1427,263,3159,3909,4834
บะหมี่แห้งหมู,244,463,26.6,20.7,42.8,27,60,324,2377,207,6366,8049,3889
ก๋วยจั๊บนำ้ข้น,553,368,21.6,10.4,46.9,60,70,516,2668,267,3596,3664,1718
กระเพาะปลาเส้นหมี่,412,246,15.5,3.1,39,26,19,129,2406,69,1396,695,342
ขนมจีนนำ้เงี้ยว,480,308,18.9,5.6,45.6,70,56,648,1862,162,1145,1213,645
ขนมจีนแกงเขียวหวาน,370,416,17.7,19.1,43.4,42,66,702,1538,221,11337,2657,1449
ขนมจีนนำ้ยากะทิ,342,346,10.8,19.4,32.1,35,77,647,1578,158,13398,938,436
ข้าวคลุกกะปิ,325,565,20.5,19.5,76.7,147,56.7,519,1999,260,3709,3923,1411
ข้าวผัดหมู,315,581,22.7,25.2,65.8,37,28,212,906,243,8891,9514,3006
ข้าวมันไก่,348,551,24.2,21.1,66.1,16,27,213,1251,95,4260,6233,2067
ข้าวหมกไก่,352,521,21.9,16.5,71.3,21,29,408,1430,262,6886,8800,3705
ข้าวหมูแดง,248,432,19.7,13.1,58.9,17,30,473,1307,357,4143,5273,1932
ข้าวหมูอบ,259,619,10.9,28,80.9,19,24.5,425,1354,188,3835,4350,1623
ผัดไทกุ้งสด,281,486,20.9,19.9,55.7,201,95,471,1060,317,5897,7136,3564
สุกี้ไก่ นำ้,540,253,20.3,5.9,29.6,86,56,436,3542,222,1036,1339,723
สุกี้รวมมิตร นำ้,530,207,20.9,5.7,17.9,81,64.4,482,3026,247,1226,1610,1029
สุกี้รวมมิตร แห้ง,384,399,21.9,17,39.4,159,56,439,1978,232,5430,5931,2624
เส้นใหญ่ผัดซีอิ้ว,320,633,16,26.8,81.9,118,51,594,1592,292,10326,9686,3172
ราดหน้า,450,506,16.5,21.8,60.9,89,61.1,497,1753,190,8887,8674,2946
เส้นใหญ่ราดหน้าหมูสับ,450,433,14,16.9,56.2,28,33.3,308,1694,145,5655,6454,2658
หมี่กรอบราดหน้าทะเล,399,457,14.3,21.8,50.8,115,54.5,332,2051,142,10046,8855,2842
หอยทอด,261,812,20.2,65.6,35.1,91,67,284,1450,462,27506,27034,7680
